area_acres,area_square_km,coordinates_latitude,coordinates_longitude,date_established_readable,date_established_unix,description,image_url,image_attribution,image_attribution_url,nps_link,states,title,id,visitors,world_heritage_site,coordinates_location
49057.36,198.5,44.35,-68.21,1919-02-26,-1604599200,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.",acadia.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/acad/index.htm,"[{""id"":""state_maine"",""title"":""Maine""}]",Acadia,park_acadia,3303393,false,POINT(-68.21 44.35)
8256.67,33.4,-14.25,-170.68,1988-10-31,594280800,"The southernmost National Park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.",american-samoa.jpg,NPS,https://www.nps.gov,https://www.nps.gov/npsa/index.htm,"[{""id"":""state_american-samoa"",""title"":""American Samoa""}]",American Samoa,park_american-samoa,28892,false,POINT(-170.68 -14.25)
76678.98,310.3,38.68,-109.57,1971-11-12,58773600,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch. Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.",arches.jpg,PixelBay/@LoggaWiggler,https://pixabay.com/en/users/LoggaWiggler-15/,https://www.nps.gov/arch/index.htm,"[{""id"":""state_utah"",""title"":""Utah""}]",Arches,park_arches,1585718,false,POINT(-109.57 38.68)
242755.94,982.4,43.75,-102.5,1978-11-10,279525600,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils. The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.",badlands.jpg,PixelBay/@kasabubu,https://pixabay.com/en/users/kasabubu-1559919/,https://www.nps.gov/badl/index.htm,"[{""id"":""state_south-dakota"",""title"":""South Dakota""}]",Badlands,park_badlands,996263,false,POINT(-102.5 43.75)
801163.21,3242.2,29.25,-103.25,1944-06-12,-806439600,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.",big-bend.jpg,PixelBay/@Goodfreephotos_com,https://pixabay.com/en/users/Goodfreephotos_com-10388/,https://www.nps.gov/bibe/index.htm,"[{""id"":""state_texas"",""title"":""Texas""}]",Big Bend,park_big-bend,388290,false,POINT(-103.25 29.25)
172971.11,700.0,25.65,-80.08,1980-06-28,331016400,"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.",biscayne.jpg,Wikipedia/@Catholic_85,https://en.wikipedia.org/wiki/User:Catholic_85,https://www.nps.gov/bisc/index.htm,"[{""id"":""state_florida"",""title"":""Florida""}]",Biscayne,park_biscayne,514709,false,POINT(-80.08 25.65)
30749.75,124.4,38.57,-107.72,1999-10-21,940482000,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.",black-canyon-of-the-gunnison.jpg,PixaBay/@mudnwaffles,https://pixabay.com/en/users/mudnwaffles-1830161/,https://www.nps.gov/blca/index.htm,"[{""id"":""state_colorado"",""title"":""Colorado""}]",Black Canyon of the Gunnison,park_black-canyon-of-the-gunnison,238018,false,POINT(-107.72 38.57)
35835.08,145.0,37.57,-112.18,1928-02-25,-1320688800,"Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.",bryce-canyon.jpg,@kevinnayar,https://kevinnayar.github.io/,https://www.nps.gov/brca/index.htm,"[{""id"":""state_utah"",""title"":""Utah""}]",Bryce Canyon,park_bryce-canyon,2365110,false,POINT(-112.18 37.57)
337597.83,1366.2,38.2,-109.93,1964-09-12,-167338800,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.",canyonlands.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/cany/index.htm,"[{""id"":""state_utah"",""title"":""Utah""}]",Canyonlands,park_canyonlands,776218,false,POINT(-109.93 38.2)
241904.26,979.0,38.2,-111.17,1971-12-18,61884000,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.",capitol-reef.jpg,PixelBay/@derwiki,https://pixabay.com/en/users/derwiki-562673/,https://www.nps.gov/care/index.htm,"[{""id"":""state_utah"",""title"":""Utah""}]",Capitol Reef,park_capitol-reef,1064904,false,POINT(-111.17 38.2)
